Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
Fear and Loathing in Las Vegas,1998,★★★½,1h 58min,5.43,HD1080,x265,Bit10,AAC,5.1,VOB,853089913,5,1
Lawrence of Arabia,1962,,3h 47min,11.77,HD1080,x265,Bit10,AAC,5.1,PGS,2681384288,1,2
Letters from Iwo Jima,2006,,2h 20min,4.35,HD1080,x265,Bit10,AC3,5.1,PGS,3215338925,1,3
Beetlejuice,1988,★★★½,1h 32min,4.86,HD1080,x265,Bit10,AAC,7.1,PGS,1473753660,1,1
Look Who's Back,2015,,1h 55min,4.53,HD1080,x265,Bit10,AC3,5.1,PGS,1573391979,1,1
Throne of Blood,1957,★★★★,1h 49min,5.10,HD1080,x265,Bit10,AAC,1.0,PGS,2355140511,2,2
Puss in Boots - The Last Wish,2022,★★★★½,1h 42min,6.78,UHD4K,x265,Bit10,AAC,7.1,VOB,2722431825,2,3
Master and Commander - The Far Side of the World,2003,★★★★,2h 18min,4.63,HD1080,x265,Bit10,AAC,5.1,VOB,3469456038,1,6
Ikiru,1952,★★★★,2h 23min,6.38,HD1080,x265,Bit10,AAC,1.0,PGS,626291364,2,1
Apocalypto,2006,★★★★,2h 18min,6.35,HD1080,x265,Bit10,AAC,5.1,PGS,3718605515,2,4
The Breakfast Club,1985,★★★★,1h 37min,4.02,HD1080,x265,Bit10,AAC,5.1,PGS,582469678,2,1
Pirates of the Caribbean - The Curse of the Black Pearl,2003,★★★★,2h 23min,2.83,HD1080,x265,Bit10,AAC,5.1,VOB,874637215,1,4
Mulholland Drive,2001,,2h 26min,8.16,HD1080,x265,Bit10,AAC,5.1,PGS,2371808843,1,4
Captain America - The First Avenger,2011,★★★★,2h 04min,6.69,UHD4K,x265,Bit10,Atmos,7.1,PGS,824108618,2,16
Seven Samurai,1954,★★★★,3h 27min,9.08,HD1080,x265,Bit10,AAC,1.0,PGS,974893754,4,1
Blade Runner 2049,2017,★★★★,2h 43min,7.84,UHD4K,x265,Bit10,Atmos,7.1,PGS,1180788237,2,27
Rashomon,1950,★★★★½,1h 28min,4.13,HD1080,x265,Bit10,AAC,2.0,PGS,1899085250,2,1
The Witch,2015,★★★★,1h 32min,3.04,HD1080,x265,Bit10,AAC,5.1,VOB,3451352941,2,2
Edge of Tomorrow,2014,★★★★,1h 53min,5.57,HD1080,x265,Bit10,EAC3,5.1,PGS,1524882923,1,4
Thief,1981,★★★★,2h 03min,6.29,HD1080,x265,Bit10,AAC,2.0,SRT,2859120662,1,3
Heat,1995,★★★★,2h 50min,7.70,HD1080,x264,Bit8,AC3,5.1,PGS,4142786878,1,4
School of Rock,2003,★★★★,1h 49min,4.52,HD1080,x265,Bit10,AC3,5.1,SRT,1711277719,1,3
The Sword of Doom,1966,★★★★,2h 00min,6.53,HD1080,x265,Bit10,FLAC,1.0,PGS,1073849306,2,1
A Clockwork Orange,1971,★★★★,2h 16min,5.53,HD1080,x265,Bit10,AAC,5.1,VOB,2544621926,2,13
Gran Torino,2008,★★★★½,1h 56min,5.73,HD1080,x265,Bit10,AAC,5.1,VOB,3567326084,1,14
Helsreach,2019,★★★★½,2h 30min,1.87,HD1080,VP9,Bit10,OPUS,2.0,SRT,3857438638,1,1
Zombieland,2009,★★★½,1h 27min,5.43,UHD4K,x265,Bit10,AC3,5.1,PGS,45578046,3,42
The Hangover Part II,2011,,1h 41min,4.02,HD1080,x265,Bit10,AC3,5.1,SRT,183607738,1,2
Dances with Wolves,1990,,3h 53min,10.90,HD1080,x265,Bit10,AAC,7.1,VOB,2680336017,3,2
Mad Max - Fury Road,2015,★★★★★,2h 00min,26.09,HD1080,x264,Bit8,Atmos,7.1,SRT,786428269,2,1
The Last Samurai,2003,★★★★,2h 34min,7.98,HD1080,x265,Bit10,AAC,5.1,PGS,1144298245,1,1
The House That Jack Built,2018,,2h 32min,5.76,HD1080,x265,Bit10,AAC,5.1,SRT,1424983748,1,1
The Book of Eli,2010,★★★½,1h 57min,2.37,HD1080,x265,Bit10,AAC,5.1,SRT,127022652,2,1
X-Men - Days of Future Past,2014,★★★★,2h 28min,5.79,HD1080,x265,Bit10,AAC,7.1,VOB,781409409,2,4
Nobody,2021,★★★★,1h 31min,6.33,HD1080,x265,Bit10,EAC3,5.1,VOB,1725487070,1,18
Once Upon a Time in the West,1968,★★★★★,2h 46min,32.12,HD1080,x264,Bit8,DTS,5.1,SRT,1182782170,1,1
Les Misérables,2012,★★★½,2h 37min,6.41,HD1080,x265,Bit10,AAC,7.1,PGS,1416615455,1,1
Danton,1983,,2h 16min,8.14,HD1080,x265,Bit10,FLAC,1.0,SRT,4240602832,2,4
The Social Network,2010,★★★★,2h 00min,7.10,UHD4K,x265,Bit10,Atmos,7.1,PGS,2159052792,4,41
Robin Hood,1973,★★★½,1h 23min,4.44,HD1080,x265,Bit10,DTS,5.1,PGS,224549409,1,9
Death on the Nile,2022,★★★,2h 06min,3.71,UHD4K,x265,Bit10,AAC,7.1,SRT,2558697015,1,3
Amadeus,1984,★★★★,3h 00min,6.95,HD1080,x265,Bit10,AAC,5.1,VOB,3716130651,2,17
The Unberable Weight of Massive Talent,2022,★★★,1h 46min,5.66,HD1080,x265,Bit10,AAC,7.1,PGS,390867123,1,1
The Last Duel,2021,★★★★,2h 32min,16.76,UHD4K,x265,Bit10,AAC,7.1,VOB,1613036079,1,10
Yojimbo,1961,★★★½,1h 50min,4.50,HD1080,x265,Bit10,AAC,5.1,SRT,3677787660,2,1
American History X,1998,★★★★,1h 58min,5.39,HD1080,x265,Bit10,AAC,7.1,VOB,3250396535,5,9
